1999,5,Titans,Bulldogs,Eels,Panthers,Dragons,Rabbitohs,Warriors,Raiders,Knights,SeaEagles,Sharks,Cowboys,Broncos,Storm,Roosters,Tigers
3.00,15.00,1.60,20.60,2.50,3.00
7.00,10.00,1.60,20.80,2.60,10.00
5.00,4.00,2.30,20.30,1.70,5.00
9.00,12.00,2.60,21.20,1.50,9.00
13.00,0.00,1.20,29.60,5.60,13.00
6.00,14.00,1.90,17.80,2.00,14.00
1.00,2.00,2.00,20.00,1.90,1.00
8.00,3.00,2.10,20.60,1.80,3.00
15.00,11.00,1.90,20.00,1.90,15.00
14.00,9.00,1.30,21.70,3.80,14.00
4.00,13.00,1.80,20.60,2.10,4.00
10.00,2.00,1.90,20.40,2.00,10.00
6.00,15.00,1.50,21.00,2.60,6.00
7.00,0.00,1.40,24.10,3.20,7.00
3.00,11.00,1.90,20.40,2.00,11.00
8.00,5.00,2.60,20.70,1.60,5.00
12.00,1.00,1.40,21.00,3.10,12.00
2.00,15.00,2.10,20.20,1.80,2.00
11.00,7.00,1.50,20.40,2.80,7.00
0.00,10.00,2.20,20.90,1.80,10.00
3.00,1.00,1.60,20.50,2.50,3.00
9.00,8.00,1.50,20.00,2.60,8.00
5.00,12.00,1.50,21.10,2.60,12.00
13.00,6.00,1.40,23.10,3.10,13.00
4.00,14.00,1.70,19.00,2.20,4.00
10.00,3.00,2.20,18.60,1.70,10.00
2.00,9.00,2.10,19.30,1.80,2.00
11.00,0.00,1.40,20.60,3.10,11.00
15.00,8.00,1.50,20.30,2.70,8.00
5.00,7.00,1.60,20.10,2.50,5.00
12.00,13.00,2.30,19.30,1.70,13.00
6.00,4.00,2.60,19.40,1.60,6.00
1.00,14.00,2.60,20.40,1.60,14.00
9.00,15.00,1.60,20.60,2.50,15.00
3.00,0.00,1.50,23.50,2.90,3.00
7.00,2.00,1.60,20.30,2.50,7.00
11.00,1.00,1.30,21.30,3.60,1.00
6.00,12.00,1.50,20.30,2.90,12.00
4.00,10.00,1.50,20.30,2.80,4.00
13.00,8.00,1.30,24.70,3.80,13.00
14.00,5.00,1.40,24.20,3.20,5.00
2.00,3.00,2.60,20.80,1.60,3.00
0.00,9.00,2.30,20.90,1.70,0.00
8.00,12.00,2.20,20.50,1.80,8.00
6.00,11.00,1.80,20.40,2.10,6.00
15.00,13.00,3.00,23.50,1.40,15.00
4.00,5.00,1.30,24.30,3.60,4.00
10.00,14.00,2.20,19.80,1.80,14.00
7.00,1.00,1.80,20.50,2.10,7.00
15.00,2.00,1.90,19.00,2.10,15.00
12.00,0.00,1.30,24.10,4.30,0.00
4.00,8.00,1.30,22.60,3.60,4.00
9.00,7.00,1.60,22.40,2.50,9.00
14.00,6.00,1.30,24.80,4.10,6.00
10.00,13.00,2.70,21.20,1.50,10.00
5.00,1.00,1.70,20.10,2.20,5.00
11.00,3.00,1.30,23.90,4.10,3.00
14.00,8.00,1.40,23.60,3.40,14.00
0.00,4.00,2.90,21.50,1.50,4.00
2.00,10.00,1.90,19.20,2.00,10.00
5.00,9.00,2.30,21.30,1.70,5.00
7.00,6.00,1.80,20.50,2.10,6.00
15.00,12.00,2.40,20.10,1.70,12.00
1.00,3.00,2.30,20.70,1.70,1.00
13.00,11.00,1.60,20.20,2.40,13.00
7.00,8.00,1.60,21.60,2.50,8.00
9.00,2.00,1.90,20.70,2.00,9.00
13.00,15.00,1.10,31.90,6.30,15.00
3.00,5.00,1.40,24.10,3.10,3.00
6.00,0.00,1.30,23.90,3.60,6.00
12.00,11.00,2.20,20.00,1.70,12.00
14.00,1.00,1.30,23.40,3.50,14.00
10.00,4.00,2.00,20.30,1.90,4.00
0.00,7.00,2.30,20.70,1.70,0.00
3.00,2.00,2.00,20.20,1.90,3.00
1.00,13.00,3.10,22.10,1.40,13.00
5.00,6.00,1.50,21.00,2.90,6.00
15.00,14.00,4.00,27.10,1.30,15.00
11.00,10.00,1.70,20.80,2.30,11.00
8.00,9.00,1.90,20.00,2.00,8.00
4.00,12.00,1.70,20.50,2.30,4.00
13.00,11.00,1.30,21.40,3.90,13.00
14.00,11.00,1.40,19.90,3.20,11.00
13.00,12.00,1.30,23.60,3.80,13.00
2.00,11.00,1.40,20.40,3.20,11.00
12.00,3.00,1.40,20.10,3.00,12.00
10.00,11.00,1.40,22.40,3.30,11.00
9.00,3.00,1.60,19.70,2.50,3.00
13.00,2.00,1.20,26.60,4.90,13.00
14.00,12.00,1.60,20.30,2.40,14.00
15.00,6.00,1.30,22.70,3.50,15.00
4.00,1.00,1.40,23.10,3.20,1.00
8.00,10.00,3.20,24.60,1.40,10.00
13.00,7.00,1.30,23.90,3.90,13.00
9.00,3.00,1.70,20.30,2.30,9.00
14.00,0.00,1.10,37.50,9.10,14.00
2.00,5.00,1.10,28.60,7.00,2.00
11.00,12.00,2.60,19.60,1.50,12.00
